,post,response
3161,Yeah sure thing,reinforce
3162,😂😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂😂😂😂😂🤣🤣🤣 you drank the koolaid!!! 🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣🤣🤣😆,reinforce
3163,Us patriots love you and we know they tell lies and we also know you are an innocent man and we will be there at the ballot box to put you back in office so you can save America and the world. 47,reinforce
3164,Not a traitor magat.,reinforce
3165,He needs to have the K thru 12 school food tested. Niece moved last year. Talking to one of the moms.... A Mom always packed her kids food. One week she had them buy. Each day a portion of everything on the tray went into a baggy taken home. That Mom had an independent lab test. Lab found testosterone blocker in ALL the food. We are seeing feminine males. What is this doing to female hormones? Could this have been the start of this gender crap? Kids hormones not knowing male/female messing with their mind.,shift
3166,Wondering if his sentence for illegal gun charges would be the same as someone in the inner cities ??,reinforce
3167,Your comment more than proves your ignorance and I bet you’re as broke as a joke. Prove me wrong!,reinforce
3168,"The Post, the Atlantic, Politico, NY and LA Times, NPR ( supported by our $$)……. A buffet of FAKE NEWS…..I need an Alka-Seltzer!",reinforce
3169,Good they should lock him up,reinforce
3170,"Yep I heard another on Faith Radio station this morning. Sad that they report false information. They are trying to discredit you however they can. We need people waking up, not more confused!",reinforce
3171,Continue to be a moron.,reinforce
3172,WP's hero of the year award 😂😂,reinforce
3173,I guess you’re too dumb to understand it.,reinforce
3174,"Give it up, Adolf",reinforce
3175,The Dems need to stop there lying we’re sick and tired of it. We want truth!￼,reinforce
3176,Lol. Kool-aid vomit. Cry again.,reinforce
3177,Exactly. The Federal Election Commission already refused to take up this farce of a charge!,reinforce
3178,But you actually said it.,reinforce
3179,"Seems to me, if he wanted to do ANYTHING like this, he would have revealed it during his first four years in office! DEMS ARE CRIMINALLY STUPID!",reinforce
3180,It's rigged ❤️ SWEETHEART ❤️ IT'S rigged BIG TIME you just forgot the 1st two incidents involving this gun eschew and also the IRS looking away from his China laundered cash fund from illegal foreign countries and his illegal activities. The very kind of stuff that would surely put Donald Jr. or Eric behind bars forever and a day.,reinforce
3181,At this point they are desperate to say anything never watch them never will,reinforce
3182,Its a good idea though,reinforce
3183,Exactly. Again communist tactics!!,reinforce
3184,The “Big Guy” will give Roberts some money to have Hunter’s verdict overturned.,reinforce
3185,Sounds like an Obiden plan to me!!,reinforce
3186,Lol... you are one angry chick. You are the reason people don't respect the democrats,reinforce
3187,That’s because there is actual evidence and much more to come against that true criminal Biden,reinforce
3188,"CNN, ABC, NBC, Washington Post and others. Want to put words for President Trump because they hate the man and his family 👆🏻🤮😡",reinforce
3189,amazing how just one network is live @ Biden impeachment ..,reinforce
3190,No there’s a recording of Frump saying this exact thing!,reinforce
3191,Not if you’re captured… didn’t he say that?,reinforce
3192,"It’s called politics, adults should do it. Donald stopped mentally aging at around six years old.",reinforce
3193,"Well Rick Scott did magic, I finally got community care and they been setting me up all morning. It took over 4 yrs of fighting. I think paying out of pocket and being healthy I’m lucky. But they said republicans don’t care and I went to rep maxwell frost and got no where. But Rick Scott got it done. I don’t get why they say that. Got a dentist, a PCP, and mental health. I really deal with my own mental health.",shift
3194,I hate that Commie Woke anti straight white male “newspaper” a k a the Wash Com Post,reinforce
3195,"Please, Sir, stop the profanity laced rhetoric at rallies. It’s a turn off for many. I’m a huge supporter & advocate for you, but have difficulty defending such language when folks bring this up when I’m campaigning for you.",reinforce
3196,The outright lies of the media are sickening,reinforce
3197,They all need a military tribunal for treason,reinforce
3198,Washington Post is one of the worst!!,reinforce
3199,Fake news strikes again👎🏿👎🏿,reinforce
3200,"That is a good point. Under the Biden administration those serving that had multiple combat deployments were ushered towards medical retirement or, If they were close to their retirement retention point they were incentivized to retire. This removed a significant leadership multipler within the military; a leadership that strongly believes in our constitution and would aggressively defend it. For those with multiple combat deployments, there is an existential crisis thst cannot be resolved simply by being outside of a war zone. Part of that is the disintegration of a country that they fought for. A significant other portion revolves around the ethics and morality of a Just war.Then the slap in the face when you realise that it can not fit back into that white picket fence. The bridge to far is fully grasping that the elected autocracy does not share those same ethics. ~freedom isn't free",reinforce
3201,Hallelujah by the Grace of God DJT is David versus Goliath and he will win through it all because of God almighty.,reinforce
3202,I'm sorry that those six words comprising that simple sentence were too difficult for you to understand. 🙄🤦‍♀️,reinforce
3203,"The President alone does not have the authority to require mandatory military service. The power to conscript individuals into military service, also known as the draft, lies with Congress. The President can influence and advocate for such a policy, but it requires legislation passed by Congress to implement or reinstate mandatory military service.",reinforce
3204,How could a pussy draft dodger like you even think that?,reinforce
3205,"Correct me if I’m wrong, but didn’t the military have plenty of volunteers when Trump ran the show? Any recruiters out there care to weigh in?",reinforce
3206,All the lies r catching up to u and ur FAKE world,reinforce
3207,"Your self-damage is enough, you really are deranged and delusional!",reinforce
3208,"If not, you are a communist, criminal yourself, completely brain dead, a Democrat, or a combination of one to all four.",reinforce
3209,And some WOKE fools are just that BLIND!,reinforce
3210,Wow the trial is over?,reinforce
3211,I try:)).,reinforce
3212,"tired of this ‘fake news’ accusations. trump is all lies, misinformation and more lies. his lies f@cked and had lie offspring. THAT is why donny does not TESTIFY in court. the guy never tells the truth and or opens his big fat obnoxious mouth and it gets him in trouble. history knows trump is tra$h. rule of thumb is that if trump calls something fake news, there’s 100% chance it’s LEGIT and on to trump’s horrific actions",reinforce
3213,Trump already was president for four years and he didn’t do ANY of the stupid shit dems are projecting that he’ll do. What a bunch of lying pussies. Maybe he should do those things🤔,reinforce
3214,"Ummm.... We're 10 steps ahead of you with that excuse. We've (those who are awake to the corruption) known that would be the go to excuse from liberals. So let's go tit for tat.... Trump trial rigged, Hunter trial justice, Young thug trial is....? Yeah... The system isn't ""rigged"", it's corrupt, and the young thug trial is just another example of corrupt judges",reinforce
3215,And yet you feel like you need to tell me that? Hehe. Bye Felicia.,reinforce
3216,"Let's not forget about the convicted felon, right? The one found liable of rape, remember?",reinforce
3217,Can't you sue these people?,reinforce
3218,Only convicted because judge wouldn’t allow sweetheart deal and let’s see what the sentencing is.,reinforce
3219,The fuck if I will ever send my kids! Not until Mr. Bone Spurs himself goes! Fuck you dumbass!,reinforce
3220,"Hon, your projection and gaslighting don't work on me. You're way out of your intellectual league here. Go play with your lying, gullible fellow cultists. They, like you, love bullshit. 😘",reinforce
3221,"For the record Mr. President, I would fully support a mandatory term of service for ALL high graduates and if you’re a dropout, you get to start your service right then and there!",reinforce
3222,And lost 77 Million dollars also,reinforce
3223,"Yep, you notice he’s the only president to not start any wars either!!! War is evil!!",reinforce
3224,Maybe President Trump should sue them for lying ‼️,reinforce
3225,You need to watch something other than fake news!,reinforce
3226,"Nothing in this existence so disgusts and angers me like the mendacity of today's propagandist ""news"" media. They seem to exploit the lowest among twenty industrialized nations ignorance and stupidity of the American people. They would take candy from a baby - in fact, they would be, and often must be, pedophiles.",reinforce
3227,Traitors all,reinforce
3228,You wouldn’t have to draft anyone they will volunteer in the 100’s of thousands to defend this country under a TRUMP PRESIDENCY! 🙏❤️🇺🇸🙏,reinforce
3229,"Even if they did have mandatory service, they can claim bone spurs🤣🤣🤣",reinforce
3230,Busted again - the jig is up Donnie,reinforce
3231,What a fool believe to get their vote.,reinforce
3232,"No, I own two apartment buildings (none of which you could afford to live in) and three houses. 👋🏿",reinforce
3233,The great deceiver,reinforce
3234,What do we need compulsory military service for? We dont stop invasions now,shift
3235,"What your staff is saying: His first secretary of defense, James Mattis: “Donald Trump is the first president in my lifetime who does not try to unite the American people – does not even pretend to try. Instead he tries to divide us.” His second secretary of defense, Mark Esper: “I think he’s unfit for office. … He puts himself before country. His actions are all about him and not about the country. And then, of course, I believe he has integrity and character issues as well.” His chairman of the joint chiefs, retired Gen. Mark Milley, seemed to invoke Trump: “We don’t take an oath to a wannabe dictator. We take an oath to the Constitution and we take an oath to the idea that is America – and we’re willing to die to protect it.”",challenge
3236,Can you explain Biden’s speech on June 10th? Also him standing next to Kamala just staring into space. You people are pathetic.,reinforce
3237,Exactly 🙋‍♀️ FBI/DOJ/ PELOSI/ CAPITOL POLICE SET-UP JAN 6TH CORRUPT 🤬 FREE THE HOSTAGES 🙌,reinforce
3238,I just read the article and this is true the Washington Post wrote some in the Trump orbit are advocating this but not Trump.,reinforce
3239,Where'd they get this idea? Some podcasters who are into Q is spreading this,reinforce
3240,I think a draft should be oit back into lifestyle. Say 2 yrs must be done by aged 21,reinforce
3241,Must be the biden administration plan mandatory military training. The accuse trump of everything the plan on doing,reinforce
3242,I will crawl through a mine field to vote for Trump. You scumbags need to be destroyed,reinforce
3243,Jealous much? 😂,reinforce
3244,"Wow. WaPo should try to save what readers they still have. With the way our economy is going, they might become victims of it and end up shutting down… it’ll be a great day WHEN that happens. 😊",reinforce
3245,"I think it’s a great idea, we need a mandatory draft in the USA!",reinforce
3246,"Considering you dodged the draft by claiming to have bone spurs, it's not surprising that you WOULDN'T want a draft.",reinforce
3247,Debunked many times & not true! Kelly is a vindictive sad person & traitor! Try harder! Trump rebuilt the military & you snowflakes didn’t want to spend the tax $.,reinforce
3248,"Again the Democrats WILL run Big Mike/Michelle Obama because there is NO ONE ELSE to run!!! The Democrats will sacrifice Hunter, maybe Pelosi and Myorkas as an appeasement to provide an alternative to Biden AND as a replacement ""choice"" to counter Trump. The Democrats WILL run the male Transvestite Michelle/Big Mike Obama for 2024.",reinforce
3249,I think it is unkind to compost that Trump compared it to the Washington Post. Compost brings actual value to the world. I still laughed hard though!,reinforce
3250,Are you able to do what you expect of others?,reinforce
3251,God Bless and thank you .,reinforce
3252,Congress has to vote to mandate service into the military,reinforce
3253,That’s fair tbh.,reinforce
3254,This one is true.,reinforce
3255,Who would be foolish enough to believe that POS rag in the 1st place?,reinforce
3256,What a sad litte lefty you are 😂 I'm not American and can't believe how bad your type are. Willing to vote an absolute retard instead of RFK Jr just to beat Trump 😂,reinforce
3257,What's that COCKSUCKER? We can't understand you with Biden's cock in your mouth. 😂😂😂😂😂😂😂😂😂😂😂😂😂,reinforce
3258,I wish you could sue them for each lie they say about you. You'd get richer than with your businesses. Mandatory military Bloodshed Imprisonment all political opponent ... At least everytime they cut a video to make you say what you didn't say. Then we can add the J6 video and so many more.,reinforce
3259,Like they had any choice. They know they fucked up with Trump.,reinforce
3260,Just more Lies!,reinforce
3261,Oh quit whining. You lost big time.,reinforce
3262,Biden family criminals blowing smoke. He won't spend one minute in jail. How will he get high????,reinforce
3263,"I don’t live in a trailer park, buddy, but I do visit one when I’m screwing your mom. PS -Keep paying your taxes. I LOVE the monthly deposits I get from DFAS and the VA (I’m sure you love them also). 🤣🤣🤣",reinforce
3264,Sue the asswipes 🤬🤬,reinforce
3265,"When Trump ""returns"" voluntary enlistment will skyrocket!",reinforce
3266,The difference is documented proof from the guilty party in his own words might I say. The difference was a judge that let all the facts come out and not just what he wanted the jury to see.,reinforce
3267,Trump and Biden are both old. Biden “does mangle a couple of words in a speech while Trump is out there sounding detached from reality - a verbal incontinence.” Give Trump’s Las Vegas rant a listen. There’s many more examples.,reinforce
3268,They’re audience is made up of weak woketards and bots.,reinforce
3269,They’re dead all right. Dead paper walking.,reinforce
3270,We know that they are lying about everything that they print Good laugh from a contoon news paper,reinforce
3271,Yeah ya fuck he's asking what the fuck you would do stay on the boat and get shocked or jump towards the shark it's an easy question or do you have that video Obama diease you know CUNT CANYT UNDERSTAND NORMAL THINKING or do you need it reworded ok here ya go do you stay on the long shaft or do you jump towards the ice cream cone .... BETTER YOU UNDERSTAND NOW IM NUST HERE TO HELP THE BRAIN DEAD LIKE YOU AND YOUR PAPA BIDEN DUUUHHH!!!!!...,reinforce
3272,lol compost!,reinforce
3273,Charlie Rangle (D) had been advocating to bring back the draft his entire career.,reinforce
3274,Snag your OnlyFelons apparel. Link in my bio!,reinforce
3275,"“ In an interview, Miller said a national service requirement should be “strongly considered.” He described the concept as a common “rite of passage,” one that would create a sense of “shared sacrifice” among America’s youth”. When you pick your military advisors, what they say reflects directly upon you. It would appear the Washington Post article (easily found) has Miller saying this. Miller is your advisor. Maybe you should fire him instead of attacking the Post Article.",challenge
3276,Trump (nor his family) never had any issues with the law… Until he began expressing belief in rigged elections!,reinforce
3277,With Hunter there was actually a crime. Ask the jurors what the crime in Trumps case was. They can’t answer. Even the prosecutor and judge didn’t know.,reinforce
3278,They’re desperate Mr. President,reinforce
3279,Now do Bill Clinton !,reinforce
3280,Not that it is any of my business but didn’t he have a medical deferment ??,reinforce
3281,i would have believed you would deputize MAGA!!! KEK,reinforce
3282,The deep irony is that the Biden Regime is risking wars on multiple fronts that could easily lead to WW3 and a draft. It's BIDEN who could create mandatory military service. 😒,reinforce
3283,Voter crimes are setting up ways to compromise the Nov 5th election. We need a FEDERAL LAW to establish citizenship and the Right to vote in the FEDERAL ELECTION now! Save our rights to vote. Illegal immigrants are law breakers and DO NOT HAVE THE RGHT TO VOTE. Save our voter rights!!,reinforce
3284,"The enemies within will stop at nothing, they have no shame. I am starting to feel sad for them",reinforce
3285,They can’t run on Slow Joe’s record so they have to make up crap!,reinforce
3286,"Did you really not see this coming as a virtue signal?? Oh wait, here you are trying to virtue signal. One committed crimes, the other was charged with manufactured crimes. Try and keep up, skippy.",reinforce
3287,WHY does this content need to be hidden? @ truthsocial,reinforce
3288,Just because 1 jury got it right does not mean the system works. New York and Georgia are still broken systems .,reinforce
3289,Dont believe anything the clown obiden or anybody from the left spits out. Hobama is still attempting to Fundamentaly Transform = Overthrow our country/government as we have known it.,reinforce
3290,There is corruption unfortunately in every govt agency. God bless you. Prayers 🙏 for you my friend and thank you for your service 🇺🇸🇺🇸🇺🇸,reinforce
3291,Washington Post!! Stock up on this toilet paper.,reinforce
3292,Christopher Miller said this and it’s in your project 2025. So it’s true and of course you are denying it. Classic fat guy move.,reinforce
3293,"Actually, $33,000. 11 per year on average.",reinforce
3294,"Isn't it the Democrats in congress that call for reinstituting the draft? No one wants to be in Biden's Army or Navy, so Democrats will have to draft people soon.",reinforce
3295,Which leaders in the military “are so corrupt.”? Name one. Some of them are self serving. Some are promoted beyond the level of their own competence. But any of them who are found to be breaking the law or violating regulations are held accountable.,reinforce
3296,YEAH!! 👍🏻,reinforce
3297,MORE FAKE. EWS,reinforce
3298,All you had to say was Washington Post. The rest of was unnecessary. There's thousands of left wing media outlets that work on single thought just like this trash rag. Nothing like hurling insults and attacking. That shows they've lost and they know it but have to do whatever they can to try and salvage what little readership/Nelson Ratings they can drag in to stay relevant.,reinforce
3299,"Bit weak that as a comeback. I've heard a lot better. Care to try again, my man?",reinforce
3300,"Nope. Making dinner. There you go again inventing scenarios for you to feel better. Go to the VA, and get some mental health treatment.",reinforce
3301,They are going to try everything under the sun and have. It only proves their desperation.,reinforce
3302,Go fly your gay pride flag then commie!,reinforce
3303,"Don’t worry Mr. President. We don’t buy their shit. We know they are schizophrenics and need to project what they plan to do or are doing. They plan to bring it back to fuel the criminal war in Ukraine. When you WIN next November, and clean up the military of the lizards and demons, Americans will once again serve freely and willingly the country they love so much.",reinforce
3304,That’s what Biden calls deflation,reinforce
3305,You are senile,reinforce
3306,Smart people won’t listen to the fake news,reinforce
3307,"Start your own newspaper, fuckstick.",reinforce
3308,I wish it was true. It builds character and respect. Israel i know does it. We can't have any more man children here.,reinforce
3309,"The only Mandatory military service will be when Joe Biden who is a disgrace to the Presidency takes us to WWIII due to Joe & his Administration’s incompetence, Greed and total radical Leftism. 🤬",reinforce
3310,"Funny how this trial happens right after Trumps verdict! Let’s all believe no one is above the law. BS ! This is another, “ hey everyone, look , my own son is going to jail”! Trumps trial wasn’t lawfare! BS and BS!",reinforce
3311,"We don’t want to start over, but, if we must we will! Pray! Vote! Arm your family! Buy More AMMO! ⏰",reinforce
3312,"Speaking of compost, someone needs a diaper change.",reinforce
3313,Did you look into Obama’s family?,reinforce
3314,"Nobody gives a shit about Hunter, or Joe. We are more interested in the fact that the DOJ purposefully lied to the American people to affect the outcome of the election. Are you dumb or something?",reinforce
3315,Destroying yourself even more. You have no idea what youre submitting to or even a remote clue of what your regurgitating.,reinforce
3316,"Hahaha, Washington Compost! Love it!!",reinforce
3317,Obama showed his plans to destroy in this 2010 cover. (EVERYTHING in the hands!),reinforce
3318,Or ours with Russian markings landing in Poland.,shift
3319,There should be mandatory military service,reinforce
3320,Sure make the kids enlist. Lazy ass kids need to be put in line.,reinforce
3321,Lots of witnesses that heard Trump....,reinforce
3322,YEA YOU DID FELON45!!! Lying your looney tunes azz off again as usual. Perhaps you should consider the merits of swimming with the sharks.,reinforce
3323,"1. It's not important what MSM tells you, most likely is made-up story, or half-truths for propaganda and desinformation. 2. It's much more important what they not tell you and keep quiet about it. 3. The most important part is why are they hiding it, and what's the reason for them to lie to you. 4. Once you figure out items 1, 2, and 3 above - you are red-pilled 💊",reinforce
3324,As a veteran (2007-2013) that was never happening in my field. No happening now either.,reinforce
3325,"Where does the liberal news media come up with this garbage?? Put people in jail, AOC??? Rachel Maddow has lost her mind. All the lies the Democrats come up with.",reinforce
3326,There is only one 100% fake - and that is without a doubt Donald Trump !,reinforce
3327,Washington Compost!! 😂 😂 😂,reinforce
3328,Amd you point is?,reinforce
3329,Exactly! That’s why we need new leadership everywhere! Rid the military of this woke nonsense!,reinforce
3330,The system is rigged. We have eyes moron and know the law! MAGA!,reinforce
3331,Well he actually broke a federal law 🤣,reinforce
3332,Biden’s son Beau served and Clinton and Obama do not disparage our war dead.,reinforce
3333,Everything the Liberals say DJT is going to do....is exactly what the Democrats plan to do if Joebama Sorocrat wins. Wake up folks....the Democrats are scared and that makes them dangerous!,reinforce
3334,Sue them!!!,reinforce
3335,"This coming from the uni-party desperately wanting a war with Russia at any cost. Trump will keep us from war and free a future generation from fighting, dying and suffering for something that gains them, and the US, nothing. But hey, keep in mind the next war may not involve soldiers at all! Rather instant incineration of entire cities and the innocent. These traitorous leaders today are the biggest threat to our country there has been in decades.",reinforce
3336,Taking it out of context. Huh. Typical dem!!!!,reinforce
3337,Does anybody really listen to MSM anymore? If they do they are just plain idiots.,reinforce
3338,Past proves future. The Democrat pundits project. So what they previously accused Trump of they did. So they will do what they are talking about now in the future. Proven.,reinforce
3339,Didnt Chuck say that not long ago? Dems would haveva draft?,reinforce
3340,"DON JOHN... Mandatory Military Service? There are ways around that, RAPIST, even if you did bring it in. Aren't there, RAPIST? # Truth .",reinforce
3341,"FAKE news,Like fox FAKE news, FAKE cnn, HAPPY BIRTHDAY on Friday Donald John.Trump your birthday is on Flag day this Friday. So HAPPY BIRTHDAY Donald John.Trump I am just a little early but on Friday it will be Your Birthday, so Sir have a Blessed Birthday on Friday and this Unvaccinated Man Needs You back in the White House and come November 5,2024 You Sir Will be the President and I need You back in the White House. Unvaccinated Man Jaman USA 🇺🇸 BLUE COLLAR OWNER and WORKER.",reinforce
3342,Actually probably would have helped. Might not be so many whinnyass little lefties causing trouble.,reinforce
3343,Didn’t WAPO have a big layoff and when I see WAPO rag anywhere I think Trash right away 🗑️,reinforce
3344,Oh yeah all you libtards should talk America haters!￼,reinforce
3345,"She stabbed a mother and stabbed to death the mothers#’s three year old son, as a Random act of violence￼￼",shift
3346,Grandpa's yelling at the newspaper again. Never give him the newspaper before his apple sauce or he gets agitated.,reinforce
3347,"Why don’t they mention the return of the Draft as Biden inches us closer too war. I’m not talking a conventional war. The war that I’m talking about is a war where there is no victorious side. Other than the chaos we’re going to see again in the streets, be prepared for some frightening false flags. I believe it’s going to make the Cold War look like a walk in the park. Be prepared and stay strong Patriots. We the People are winning this battle. Take notice on what’s going on in the EU, change is just around the corner. MAGA 2024",reinforce
3348,Democrats! They rape their little daughters in the shower while the mother looks on. That’s who!,reinforce
3349,"Wouldn’t that be RICH. Former draft dodger and critic of our military and those who ACTUALLY SERVED, some giving the ultimate sacrifice, calling for compulsory service. He should be first in line along side his son.",reinforce
3350,Trump:- 99% lies 1% true.,reinforce
3351,You took it out of context. Why would you do that? He said things that the mainstream media will twist his words into.,reinforce
3352,"No, his pedophile father is.",reinforce
3353,# TheWashingtonCompost,reinforce
3354,Well said! 👏Trump 2024💪❤️🇺🇲🙏,reinforce
3355,Desperate fools making desperate accusations! No worries DJT.. we know what’s true and we’re not fooled any longer💪,reinforce
3356,Clapper’s a F*^-king communist and needs to go to jail,reinforce
3357,"No worries, no one pays attention to the so-called news these days!",reinforce
3358,So it's true.,reinforce
3359,"“I’m not fit to stand trial, but I can still pass Communists Bills, paying for an illegal army with tax payer money! THAT IS THE HARDEST PART😇",reinforce
3360,"Oh yeah, why would you do that when you called members of the military losers and suckers. Your an idiot @ realDonaldTrump",reinforce
3361,"Of course, the MSM lies 24/7 and the TDS trolls will believe every lie that is told to them. TDS destroys all functioning brain cells.",reinforce
3362,Dead to most fir sure! DISCUSTING MEDIA...,reinforce
3363,"Not E Jean Carrol. If you believe that, you're as crazy as Biden",reinforce
3364,Yeah they think the urinal cake is a cookie 😳😳😬😂😂😂,reinforce
3365,Communist WP: rooting for AMERIKA!,reinforce
3366,Not a thing wrong with me. Clinton entered the draft. Obama in 1996 was an attorney and Community Organizer.,reinforce
3367,We should have a mandatory military service.,reinforce
3368,"Wow, that’s what Biden is going to do when he starts wwlll. Trump is the only hope of stopping that. Crazy how they just lie all the time!",reinforce
3369,You’re doing just fine yourself with the crazy talk about boat batteries and sharks. Even much of the @ maga faithful thinks you are nuts and out of touch with reality. # donaldareyoustillwithus ?,reinforce
3370,The “big” guy will pardon him…,reinforce
3371,"We already know they have come after you. We know they are in fact fake news. They have lost the respect that they were originally built upon. Daniel 5:25, this is what I have to say towards your enemies Mr Trump.",reinforce
3372,"We live in a world with fake news being put out there. You don't really know what to trust, and it's a real danger to society. ~Austin Aries",shift
3373,"Allow me to intelligently educate another RETARD LIBERAL DEMOCRAT. Mika and JOE are presenting another poorly edited video with portions taken out of context and not in their entirety. So of course it seems jumbled. The fact, however, is not forgotten that Joe Biden in full context in his entirety is a mumbling, jumbling unfit mental brain dead like the typical progressive liberal democrat. I typed this slowly because I trust you can’t read well. 😂🤣😂🤣",reinforce
3374,How is it going being a member of the Psychopath Cult? Are you another paranoid pedo or a taxpayer teat sucker?,reinforce
3375,"No one in their right mind Would believe this fake story unless they hate you, but i dont",reinforce
3376,Should be mandatory so our women can’t be drafted like Biden put in place and it would make men out of some of these twat knots,reinforce
3377,"The harder you rail against the story, the more truth is behind it!",reinforce
3378,"Actually if I remember correctly, it's in the Constitution that every male over the age of 18 is required to give 6 years to military service. However, when Trump returns as commander in chief, it will be a pleasure to serve with him. People will volunteer. If I were young enough I'd re-up. Semper Fi!",reinforce
3379,ITS NOT ENOUGH. He and his family are guilty of a shit ton of crimes against the USA.,reinforce
3380,Sue them for slander 🤬,reinforce
3381,THEY ALL SUCK!,reinforce
3382,It's all we need,reinforce
3383,I hope that’s a real picture.,reinforce
3384,"Fyi opie, trump has settled thousands of law suits for screwing regular, hard working people. Why do you think the people of new york hate him? 50 year history of shady business dealings...",reinforce
3385,Where have you been? He’s found guilty so his father the president can pardon him and he can’t ever go to jail or convicted again.,reinforce
3386,"The “FAKE NEWS” called out by POTUS Donald J. Trump has been the death knell signal of which Legal Citizens understanding clear English all agree….not only that though, we also understand “FAKE NEWS is the ENEMY OF THE PEOPLE” which speaks to the TRUTH of the FACT of the EVIL LIES and PROPAGANDA Pollution intentionally created 24/7. It’s laughable when you understand it and see it and hear the bullshitters of the TeeVee FAKE NEWS Clowns 🤡🤡🤡",reinforce
3387,"Except Hunter committed the crimes! There was no state law that was introduced in Trump’s trial. They keep saying campaign finance laws. But guess what .. that’s a federal crime, and Alvin Bragg has no jurisdiction to bring a lawsuit under campaign finance laws!!",reinforce
3388,"IGNORE THEM, THEY ARE NUTTY.",reinforce
3389,Washington Compost!!!! bwahahahaha !!!!! 🤣,reinforce
3390,"Trump will not need a draft. He will tell Russia that Ukraine will not become a part of NATO and Ukraine will lose the Dombas region. Then will tell others to stop buying Iranian oil or face severe sanctions. He is going to sanction China for trade imbalances, and he is going to sanction Mexico to stop illegals. He is going to sanction Iran and block all monies to them, which will choke Hamas. That will end the Israeli war.",reinforce
3391,I see you used the quotes referring to traitor McCain. Quite a twist in your propaganda. You are very good at FAKE NEWS.,reinforce
3392,"The Washington Post is history and they know it. All that's left are about thirty executives and 8 incompetent workers drones that have the journalistic skills and integrity of Bidens two failed press secretaries, old transgender Chucky and the black lesbian diversity hire.",reinforce
3393,Yep. After all hunter was actually guilty...,reinforce
3394,#1 Trump never said that. #2 You must be a mind reader to know what Trump is thinking at any given moment. #3 You're a moron.,reinforce
3395,"PS Remember, Trump chickened out of the draft FIVE times, the last time because he had 'bone spurs' on his feet. You know, those extraordinarily lethal bone spurs. He was just another spoiled rich kid who didn't go to Vietnam. He is yellow, always was and always will be. Care to give us your take on why he evaded the draft? Thought not.",reinforce
3396,"Hey!! There it is again!! Page 1 from MAGA playbook: “If you see a Veteran that is not on his or her knees sucking trump’s cock like you lovingly do, then hurl a Stolen Valor slur or accuse them of lying about their service. But then get right back to sucking trump’s cock.” Fuck you, dildo. You have been kept free by better men and women than yourself.",reinforce
3397,The LEADER IN FAKE NEWS!!!!,reinforce
3398,Washington Compost 😆,reinforce
3399,"Oh Donald, you are a looser and a sucker. The majority of the American people see Project 2025. We will not let you implement it.",reinforce
3400,President Trump Is Forever Tackling Against The Fake News Mafia❤️🇺🇸🤍🇺🇸💙🪽⭐️🎬🐝 HEY🥰DONALD TRUMP LOVE YOU💕HAVE A NICE EVENING💞😘 @ realDonaldTrump,reinforce
3401,"Wikipedia: ""Following conviction of a felony in a court of law, a person may be described as a f e l o n or a convicted f e l o n"". Further questions?:))",reinforce
3402,Another brain dead idiot democrat,reinforce
3403,Now you have a problem because you have to be specific about which convicted felon you are taking about. 😂😂😂🤣🤣🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,reinforce
3404,"Yah, reinstating the draft is their plan , as they continue with their war plans, so they have to portray Trump as the bad guy first.",reinforce
3405,It shouldn't be forced on our younger generation we already have Technical schools that teach all kind of skills. There's nothing brilliant about forcing an American do something they don't want to. To me it sounds like dictatorship communism forcing Americans To Do things they don't want. Not everybody is cut out for the military.,reinforce
3406,Love you Mr. Trump! Cannot wait to see what Barrons future holds! Barron 2044!,reinforce
3407,"All that you say in your tweets and your speeches, spells put exactly what is being said allegedly. We don’t trust you. We rejected that nonsense in 2020 and will reject it again in November allegedly",reinforce
3408,I was just thinking about that that. Eisenhower gave all serice members jobs. Then they did awy w/ the draft & social security ran out,reinforce
3409,"Sue them for defamation, and destroying the country and take over them and publish truth",reinforce
3410,Last year the VA processed 63k medical claims for illegals putting our Vers behind illegals. Nice huh?,reinforce
3411,"I just love how classy you are. Why is it necessary to give names that belittle people and organizations that disagree with you, but when people and organizations do it to you, it’s fake, and they are out to get you. You are a LOSER. And btw where is Melania?",reinforce
3412,There is that. 🤔,reinforce
3413,"President Biden has not sent ONE member of the military into combat. Stop lying! President Biden has armed Ukrainian soldiers so they can defend themselves against Putin’s aggression. Putin will go after a NATO country next if Trump is re-elected. And, if the price is right, Trump will send our troops to Europe. I don’t think an all volunteer military can handle it.",reinforce
3414,"Draft should be abolished. If there’s a truly compelling need to go to war, Americans will volunteer!",reinforce
3415,"Hey, ucsddad- may I address your dismal following? Think about the damage that has been inflicted on our country by trump and (maga) you, trumps clueless followers. Shame on you!",reinforce
3416,The Washington ComPost 🙄🤡,reinforce
3417,"HEY!! That’s Justice-Involved Person to you, BUSTER🤡 Glad you’ve finally acknowledged it is Fake News when President Trump is the story. Welcome to MAGA!!",reinforce
3418,They’re pulling out the classics! I remember them screaming about the draft when George W was running for his second term,reinforce
3419,WAPO not fit for TP!,reinforce
